net
"['p1', 'sb21']"
"['sb44', 'sb22']"
"['sb21', 'sb15']"
"['sb44', 'sb24']"
"['sb1', 'sb16']"
"['sb49', 'sb15']"
"['sb33', 'sb22']"
"['sb39', 'sb49', 'sb43']"
"['sb39', 'sb45']"
"['sb49', 'sb3', 'sb22']"
"['sb33', 'sb24']"
"['sb21', 'sb15']"
"['sb2', 'sb15']"
"['sb33', 'sb43']"
"['sb42', 'sb15']"
"['sb39', 'sb22']"
"['sb8', 'sb43']"
"['sb42', 'sb15']"
"['sb44', 'sb15']"
"['sb42', 'sb45']"
"['sb21', 'sb15']"
"['sb44', 'sb22']"
"['sb13', 'sb22']"
"['sb42', 'sb15']"
"['sb28', 'sb31']"
"['sb39', 'sb47']"
"['sb10', 'sb33']"
"['sb33', 'sb44']"
"['sb39', 'sb14', 'sb6']"
"['sb28', 'sb33']"
"['sb3', 'sb41']"
"['sb25', 'sb33']"
"['sb34', 'sb8', 'sb14']"
"['sb8', 'sb7']"
"['sb3', 'sb47']"
"['sb7', 'sb49', 'sb44']"
"['sb10', 'sb1', 'sb3']"
"['sb39', 'sb9']"
"['sb13', 'sb39']"
"['sb39', 'sb42']"
"['sb3', 'sb1']"
"['sb42', 'sb33']"
"['sb33', 'sb41']"
"['sb39', 'sb41']"
"['sb39', 'sb47']"
"['sb7', 'sb13']"
"['sb21', 'sb13', 'sb7']"
"['sb7', 'sb47']"
"['sb13', 'sb6', 'sb42']"
"['sb34', 'sb42']"
"['sb25', 'sb42']"
"['sb25', 'sb42']"
"['sb25', 'sb42']"
"['sb1', 'sb42']"
"['sb34', 'sb21', 'sb42']"
"['sb28', 'sb44']"
"['sb21', 'sb28']"
"['sb47', 'sb25']"
"['sb21', 'sb25']"
"['sb28', 'sb9']"
"['sb13', 'sb25']"
"['sb23', 'sb35']"
"['sb0', 'sb4']"
"['sb0', 'sb35']"
"['sb30', 'sb38']"
"['sb46', 'sb17']"
"['sb0', 'sb46', 'sb29']"
"['sb27', 'sb12']"
"['sb20', 'sb30']"
"['sb27', 'sb12']"
"['sb30', 'sb29']"
"['sb37', 'sb48']"
"['sb48', 'sb12']"
"['sb23', 'sb4']"
"['sb0', 'sb4']"
"['sb17', 'sb37']"
"['sb26', 'sb20']"
"['sb48', 'sb12']"
"['sb23', 'sb27']"
"['sb26', 'sb37', 'sb20']"
"['sb26', 'sb4']"
"['sb37', 'sb48']"
"['sb0', 'sb30', 'sb18']"
"['sb0', 'sb19']"
"['sb36', 'sb12']"
"['sb23', 'sb37', 'sb17']"
"['sb30', 'sb27']"
"['sb40', 'sb27']"
"['sb19', 'sb37']"
"['sb11', 'sb32']"
"['sb36', 'sb32']"
"['sb4', 'sb27']"
"['sb19', 'sb29']"
"['sb18', 'sb48']"
"['sb5', 'sb32']"
"['sb4', 'sb32', 'sb29']"
"['sb4', 'sb27']"
"['sb35', 'sb32']"
"['sb19', 'sb11']"
"['sb4', 'sb27']"
"['sb4', 'sb27']"
"['sb19', 'sb5']"
"['sb4', 'sb19', 'sb38']"
"['sb4', 'sb29']"
"['sb4', 'sb36']"
"['sb4', 'sb35']"
"['sb18', 'sb38']"
"['sb18', 'sb27']"
"['sb18', 'sb27']"
"['sb20', 'sb35']"
"['sb29', 'sb5']"
"['sb11', 'sb17']"
"['sb11', 'sb38']"
"['sb27', 'sb36']"
"['sb27', 'sb36']"
"['sb38', 'sb5']"
"['sb5', 'sb48']"
"['sb27', 'sb36']"
"['sb27', 'sb36']"
"['sb29', 'sb38', 'sb5']"
"['sb38', 'sb5']"
"['sb48', 'sb36']"
"['sb17', 'sb38']"
"['sb17', 'sb38']"
"['sb35', 'sb38']"
"['sb38', 'sb48']"
"['sb17', 'sb38']"
"['sb17', 'sb27']"
"['sb17', 'sb35', 'sb29']"
"['sb29', 'sb35']"
"['sb35', 'sb27']"
"['sb48', 'sb27']"
"['sb35', 'sb48']"
"['sb35', 'sb48']"
"['sb35', 'sb48']"
"['sb35', 'sb48']"
"['sb35', 'sb48']"
"['sb35', 'sb48']"
