net
"['p1', 'sb20']"
"['p120', 'sb13']"
"['p121', 'sb20']"
"['p122', 'sb7']"
"['p123', 'sb14']"
"['p124', 'sb20']"
"['p125', 'sb20']"
"['p126', 'sb23']"
"['p127', 'sb22']"
"['p128', 'sb7']"
"['p129', 'sb20']"
"['p130', 'sb4']"
"['p131', 'sb15']"
"['p132', 'sb11']"
"['p133', 'sb20']"
"['p134', 'sb29']"
"['p135', 'sb0']"
"['p136', 'sb23']"
"['p137', 'sb5']"
"['p138', 'sb12']"
"['p139', 'sb0']"
"['sb28', 'p140']"
"['sb9', 'p141', 'sb21']"
"['sb3', 'p142']"
"['sb28', 'p143']"
"['sb18', 'p144']"
"['sb21', 'p145']"
"['sb18', 'p146']"
"['sb3', 'p147']"
"['sb3', 'p148']"
"['sb21', 'p149']"
"['sb4', 'p150']"
"['sb17', 'p151', 'sb27']"
"['sb2', 'p152']"
"['sb28', 'p153']"
"['sb18', 'p154']"
"['sb1', 'p155']"
"['sb17', 'p156']"
"['sb14', 'p157']"
"['sb17', 'p158']"
"['sb14', 'p159']"
"['sb0', 'p160']"
"['sb9', 'p161']"
"['sb14', 'p162']"
"['sb28', 'p163', 'sb25']"
"['sb0', 'p164']"
"['sb14', 'p165']"
"['sb29', 'p166']"
"['sb23', 'p167']"
"['sb3', 'p168']"
"['sb3', 'p169']"
"['sb3', 'p170']"
"['sb23', 'p171']"
"['sb9', 'p172', 'sb23']"
"['sb25', 'p173']"
"['sb11', 'p174']"
"['sb2', 'p175']"
"['sb17', 'p176']"
"['sb23', 'p177']"
"['sb10', 'p178']"
"['sb27', 'p179', 'sb22']"
"['sb10', 'p180']"
"['sb4', 'p181']"
"['sb4', 'p182']"
"['sb26', 'p183']"
"['sb22', 'p184']"
"['sb22', 'p185']"
"['sb3', 'p186']"
"['sb19', 'p187']"
"['sb22', 'p188']"
"['sb14', 'p189', 'sb1']"
"['sb1', 'p190']"
"['sb28', 'p191']"
"['sb3', 'p192', 'sb18']"
"['sb17', 'p193']"
"['sb5', 'p194', 'sb2']"
"['sb29', 'p195']"
"['sb14', 'p196']"
"['sb9', 'p197']"
"['sb0', 'p198', 'sb4']"
"['sb8', 'p199']"
"['sb0', 'p200']"
"['sb22', 'p201']"
"['sb8', 'p202']"
"['sb14', 'p203']"
"['sb2', 'p204']"
"['sb27', 'p205']"
"['sb9', 'p206']"
"['sb3', 'p207']"
"['sb14', 'p208']"
"['sb17', 'p209']"
"['sb0', 'p210']"
"['sb4', 'p211']"
"['sb0', 'p212', 'sb21']"
"['sb22', 'sb3']"
"['sb8', 'sb18']"
"['sb16', 'sb10']"
"['sb12', 'sb29', 'sb16']"
"['sb8', 'sb3']"
"['sb16', 'sb0']"
"['sb11', 'sb6']"
"['sb6', 'sb5']"
"['sb15', 'sb16']"
"['sb6', 'sb25']"
"['sb9', 'sb3']"
"['sb16', 'sb28']"
"['sb24', 'sb26']"
"['sb23', 'sb3']"
"['sb25', 'sb18']"
"['sb17', 'sb6']"
"['sb14', 'sb3']"
"['sb0', 'sb6']"
"['sb18', 'sb1']"
"['sb16', 'sb18', 'sb26']"
"['sb15', 'sb24']"
"['sb16', 'sb26']"
"['sb21', 'sb3']"
"['sb16', 'sb4']"
"['sb6', 'sb9']"
"['sb20', 'sb16']"
"['sb6', 'sb18', 'sb5']"
"['sb16', 'sb13']"
"['sb12', 'sb16']"
"['sb20', 'sb24']"
"['sb17', 'sb3']"
"['sb22', 'sb3']"
"['sb15', 'sb24']"
"['sb17', 'sb6']"
"['sb7', 'sb16']"
"['sb25', 'sb3']"
"['sb23', 'sb3']"
"['sb7', 'sb24']"
"['sb16', 'sb13']"
"['sb25', 'sb18']"
"['sb17', 'sb6']"
"['sb2', 'sb18']"
"['sb23', 'sb3']"
"['sb16', 'sb24', 'sb26']"
"['sb20', 'sb24']"
"['sb6', 'sb5']"
"['sb26', 'sb10', 'sb6']"
"['sb24', 'sb4']"
"['sb26', 'sb14', 'sb6']"
"['sb13', 'sb24']"
"['sb12', 'sb16']"
"['sb24', 'sb28']"
"['sb19', 'sb7', 'sb16']"
"['sb23', 'sb3']"
"['sb20', 'sb16']"
"['sb8', 'sb18']"
"['sb21', 'sb3']"
"['sb18', 'sb1']"
"['sb7', 'sb24']"
"['sb0', 'sb6']"
"['sb12', 'sb16']"
"['sb22', 'sb3']"
"['sb25', 'sb3']"
"['sb24', 'sb8']"
"['sb12', 'sb16']"
"['sb19', 'sb16']"
"['sb16', 'sb11']"
"['sb28', 'sb6']"
"['sb24', 'sb17']"
"['sb24', 'sb22']"
"['sb19', 'sb15']"
"['sb9', 'sb22']"
"['sb7', 'sb17']"
"['sb11', 'sb9', 'sb17']"
"['sb15', 'sb17', 'sb7']"
"['sb8', 'sb22']"
"['sb17', 'sb8']"
"['sb12', 'sb17']"
"['sb21', 'sb27']"
"['sb10', 'sb27']"
"['sb15', 'sb4']"
"['sb22', 'sb23']"
"['sb9', 'sb22']"
"['sb8', 'sb22']"
"['sb9', 'sb22']"
"['sb19', 'sb12']"
"['sb5', 'sb10']"
"['sb19', 'sb0']"
"['sb7', 'sb9']"
"['sb20', 'sb4']"
"['sb20', 'sb25']"
"['sb20', 'sb12']"
"['sb20', 'sb12']"
"['sb13', 'sb2', 'sb26']"
"['sb13', 'sb21']"
"['sb20', 'sb25']"
"['sb2', 'sb14']"
"['sb7', 'sb8']"
"['sb19', 'sb20', 'sb11']"
"['sb2', 'sb14']"
"['sb5', 'sb14']"
"['sb19', 'sb0']"
"['sb5', 'sb21']"
"['sb0', 'sb2']"
"['sb13', 'sb26']"
"['sb10', 'sb2']"
"['sb20', 'sb26']"
"['sb20', 'sb23']"
"['sb19', 'sb14']"
"['sb2', 'sb8']"
"['sb20', 'sb13', 'sb14']"
"['sb20', 'sb0']"
"['sb20', 'sb8']"
"['sb20', 'sb12']"
"['sb4', 'sb5']"
"['sb19', 'sb12']"
"['sb7', 'sb12']"
"['sb7', 'sb11']"
"['sb19', 'sb9']"
"['sb26', 'sb2']"
"['sb10', 'sb9']"
"['sb28', 'sb0']"
"['sb14', 'sb21']"
"['sb8', 'sb25', 'sb9']"
"['sb9', 'sb29']"
"['sb0', 'sb1']"
"['sb25', 'sb9']"
"['sb14', 'sb9']"
"['sb29', 'sb21']"
"['sb11', 'sb28']"
"['sb26', 'sb0']"
"['sb12', 'sb26', 'sb9']"
"['sb0', 'sb14']"
"['sb28', 'sb9']"
"['sb26', 'sb4']"
"['sb26', 'sb4']"
"['sb26', 'sb28', 'sb11']"
